Time,DecimalCode
1.846670e-05,11
1.848630e-05,13
1.850591e-05,13
1.852552e-05,15
1.854513e-05,17
1.856474e-05,17
1.858434e-05,19
1.860395e-05,20
1.862356e-05,21
1.864317e-05,23
1.866277e-05,23
1.868238e-05,25
1.870199e-05,26
1.872160e-05,26
1.874121e-05,28
1.876081e-05,28
1.878042e-05,28
1.880003e-05,28
1.881964e-05,28
1.883925e-05,28
1.885885e-05,28
1.887846e-05,28
1.889807e-05,28
1.891768e-05,28
1.893728e-05,28
1.895689e-05,28
1.897650e-05,28
1.899611e-05,28
1.901572e-05,28
1.903532e-05,28
1.905493e-05,28
1.907454e-05,28
1.909415e-05,28
1.911376e-05,28
1.913336e-05,27
1.915297e-05,26
1.917258e-05,25
1.919219e-05,23
1.921179e-05,23
1.923140e-05,21
1.925101e-05,20
1.927062e-05,19
1.929023e-05,17
1.930983e-05,17
1.932944e-05,15
1.934905e-05,13
1.936866e-05,13
1.938826e-05,11
1.940787e-05,10
1.942748e-05,9
1.944709e-05,7
1.946670e-05,7
1.948630e-05,6
1.950591e-05,4
1.952552e-05,4
1.954513e-05,3
1.956474e-05,3
1.958434e-05,1
1.960395e-05,2
1.962356e-05,1
1.964317e-05,0
1.966277e-05,0
1.968238e-05,1
1.970199e-05,0
1.972160e-05,0
1.974121e-05,0
1.976081e-05,1
1.978042e-05,1
1.980003e-05,2
1.981964e-05,2
1.983925e-05,2
1.985885e-05,3
1.987846e-05,4
1.989807e-05,5
1.991768e-05,6
1.993728e-05,7
1.995689e-05,8
1.997650e-05,9
1.999611e-05,11
2.001572e-05,11
2.003532e-05,13
2.005493e-05,14
2.007454e-05,15
2.009415e-05,17
2.011376e-05,17
2.013336e-05,19
2.015297e-05,21
2.017258e-05,21
2.019219e-05,23
2.021179e-05,24
2.023140e-05,25
2.025101e-05,26
2.027062e-05,27
2.029023e-05,28
2.030983e-05,28
2.032944e-05,28
2.034905e-05,28
2.036866e-05,28
2.038826e-05,28
2.040787e-05,28
2.042748e-05,28
2.044709e-05,28
2.046670e-05,28
2.048630e-05,28
2.050591e-05,28
2.052552e-05,28
2.054513e-05,28
2.056474e-05,28
2.058434e-05,28
2.060395e-05,28
2.062356e-05,28
2.064317e-05,28
2.066277e-05,28
2.068238e-05,27
2.070199e-05,25
2.072160e-05,25
2.074121e-05,23
2.076081e-05,22
2.078042e-05,21
2.080003e-05,20
2.081964e-05,18
2.083925e-05,18
2.085885e-05,16
2.087846e-05,14
2.089807e-05,14
2.091768e-05,12
2.093728e-05,11
2.095689e-05,10
2.097650e-05,8
2.099611e-05,8
2.101572e-05,6
2.103532e-05,5
2.105493e-05,5
2.107454e-05,4
2.109415e-05,3
2.111376e-05,2
2.113336e-05,1
2.115297e-05,1
2.117258e-05,1
2.119219e-05,1
2.121179e-05,0
2.123140e-05,0
2.125101e-05,0
2.127062e-05,0
2.129023e-05,1
2.130983e-05,1
2.132944e-05,1
2.134905e-05,1
2.136866e-05,2
2.138826e-05,3
2.140787e-05,3
2.142748e-05,5
2.144709e-05,5
2.146670e-05,6
2.148630e-05,7
2.150591e-05,8
2.152552e-05,10
2.154513e-05,10
2.156474e-05,12
2.158434e-05,13
2.160395e-05,14
2.162356e-05,16
2.164317e-05,17
2.166277e-05,18
2.168238e-05,19
2.170199e-05,21
2.172160e-05,22
2.174121e-05,23
2.176081e-05,24
2.178042e-05,25
2.180003e-05,26
2.181964e-05,27
2.183925e-05,28
2.185885e-05,28
2.187846e-05,28
2.189807e-05,28
2.191768e-05,28
2.193728e-05,28
2.195689e-05,28
2.197650e-05,28
2.199611e-05,28
2.201572e-05,28
2.203532e-05,28
2.205493e-05,28
2.207454e-05,28
